Region,Park Code,Park Name
Northeast,acad,Acadia National Park
West,amme,American Memorial Park
Southwest,arch,Arches National Park
West,badl,Badlands National Park
Southwest,bibe,Big Bend National Park
Southeast,bisc,Biscayne National Park
West,blca,Black Canyon of the Gunnison National Park
West,brca,Bryce Canyon National Park
West,cany,Canyonlands National Park
West,care,Capitol Reef National Park
Southwest,cave,Carlsbad Caverns National Park
West,chis,Channel Islands National Park
Southeast,cong,Congaree National Park
West,crla,Crater Lake National Park
Midwest,cuva,Cuyahoga Valley National Park
West,dena,Denali National Park & Preserve
West,deva,Death Valley National Park
Southeast,drto,Dry Tortugas National Park
Southeast,ever,Everglades National Park
West,gaar,Gates of the Arctic National Park and Preserve
West,glac,Glacier National Park
West,glba,Glacier Bay National Park and Preserve
West,grba,Great Basin National Park
West,grca,Grand Canyon National Park
West,grsa,Great Sand Dunes National Park and Preserve
Southeast,grsm,Great Smoky Mountains National Park
West,grte,Grand Teton National Park
Southeast,gumo,Guadalupe Mountains National Park
West,hale,Haleakala National Park
West,havo,Hawaii Volcanoes National Park
Southeast,hosp,Hot Springs National Park
Midwest,indu,Indiana Dunes National Park
Midwest,isro,Isle Royale National Park
Midwest,jeff,Gateway Arch National Park
West,jotr,Joshua Tree National Park
West,katm,Katmai National Park and Preserve
West,kefj,Kenai Fjords National Park
West,kova,Kobuk Valley National Park
West,lacl,Lake Clark National Park and Preserve
West,lavo,Lassen Volcanic National Park
West,maca,Mammoth Cave National Park
West,meve,Mesa Verde National Park
West,mora,Mount Rainier National Park
Southeast,neri,New River Gorge National Park and Preserve
West,noca,North Cascades National Park
West,olym,Olympic National Park
Southwest,pefo,Petrified Forest National Park
West,pinn,Pinnacles National Park
West,redw,Redwood National Park
West,romo,Rocky Mountain National Park
Southwest,sagu,Saguaro National Park
West,seki,Sequoia and Kings Canyon National Parks
Southeast,shen,Shenandoah National Park
Midwest,thro,Theodore Roosevelt National Park
Southeast,viis,Virgin Islands National Park
Midwest,voya,Voyageurs National Park
Southwest,whsa,White Sands National Park
Midwest,wica,Wind Cave National Park
West,wrst,Wrangell - St Elias National Park and Preserve
West,yell,Yellowstone National Park
West,yose,Yosemite National Park
West,zion,Zion National Park
